% Model,BarMagnetPair.mph
% Version,COMSOL 5.4.0.388
% Date,"Jun 24 2021, 18:33"
% Dimension,3
% Nodes,7005
% Expressions,1
% Description,"Magnetic flux density, y component"
% Length unit,m
% X,Y,Z,mfnc.By (G)
-0.07217017774986231,-0.02184358328522003,5.421010862427522E-20,0.0037988336565848053
-0.07500000000000001,-0.02072260439143412,0,4.104734219792908E-16
-0.07183740570265909,-0.022507298863960877,1.0842021724855044E-19,-0.002243834015825274
-0.07379568149815327,-0.01841280872213702,2.710505431213761E-20,-0.0018240705098719282
-0.075,-0.016525390977456467,0,-5.364199819355573E-4
-0.07180939727706864,-0.02166525273652029,1.6263032587282567E-19,0.0022472198389681484
-0.07356405006052273,-0.01277834544493631,0,-0.009016294322172033
-0.075,-0.011785228966109361,-2.1684043449710089E-19,-0.002941954868916434
-0.075,-0.01586850114695815,0,0.005804564003710391
-0.020122810087528913,-0.07165579802398038,0,-2.918485015431543E-4
-0.018677650056190064,-0.07205626856365929,-2.1684043449710089E-19,-0.0039011108822496906
-0.016199488090720117,-0.07499999999999998,-8.72565908416334E-16,1.6308817451546895E-4
-0.01842506804812674,-0.07183334284868607,0,6.51197275675721E-4
-0.02443069554860473,-0.07101906567663033,0,-0.0060888056493056215
-0.012261677410611564,-0.075,4.3368086899420177E-19,0.0017925016749991557
-0.013094236281133561,-0.07225588466108548,-5.421010862427522E-20,-0.004563362896280957
-0.008172428518462137,-0.07500000000000001,0,-0.004538420750037259
-0.013748177100143005,-0.07160692058128432,5.421010862427522E-20,-0.006900015478520663
-9.353205773117349E-4,-0.07449578255728548,0,0.002797391928044478
-0.0039093174452799655,-0.0714231814661959,2.1684043449710089E-19,0.0014818842937855102
-0.00426338935031843,-0.07257015576893976,2.1684043449710089E-19,0.0038504513061724476
-0.003312422039840574,-0.075,-2.1684043449710089E-19,-0.004300315455796538
-0.007418646058970622,-0.0745658061831594,0,-0.0016534158745650721
-0.0074472461963062805,-0.075,-2.710505431213761E-20,-0.0013322122444703276
-0.005360308221713723,-0.07158293108067744,2.1684043449710089E-19,0.003420149312832277
-5.859643675975116E-4,-0.075,-2.710505431213761E-20,0.004459044854737615
-0.07468256709292861,-0.016249077745582145,0,9.364537184026169E-4
-0.075,-0.01621039425119985,0,-0.009155731637905319
-0.075,-0.0026362929791536676,-2.1684043449710089E-19,0.002865743327929457
-0.0735466145264847,-0.004209289598696381,-2.1684043449710089E-19,0.002828330643232336
-0.07456683052368851,-0.006861939030073894,-5.421010862427522E-20,-0.002548666199164983
-0.07499999999999998,-0.00662390477073906,-5.421010862427522E-20,-9.581098923162345E-17
-0.0722561642857435,-0.005649976469554941,2.1684043449710089E-19,-0.0015763779304752183
-0.07480623601289647,-0.016010559806102217,2.710505431213761E-20,-0.0026245299312811538
-0.07184608211401856,-0.013583870448910221,-4.3368086899420177E-19,-0.0016719291697747693
-0.0737900775712293,-0.010434261123289275,-4.3368086899420177E-19,0.0051008889005264325
-0.07464071233728475,-0.007590509905642452,-5.421010862427522E-20,-0.0014282088739101793
-0.075,-0.007985185187211804,0,1.5987306157755557E-16
-0.07153792487344247,-0.007406237562306623,1.3552527156068805E-20,-0.004040437239310779
-0.075,-0.0072974818684558036,-5.421010862427522E-20,-0.003680773781473889
-0.07134503494589642,-0.011042029622564209,-2.1684043449710089E-19,0.008630210292595147
-0.07080930969323984,-0.011378173474215086,0,0.0019065654857539807
-0.007817902749349424,-0.075,0,-9.689050395559282E-4
-0.00786556995624668,-0.07456712498201987,0,-9.92647735089723E-4
-0.012030863681287047,-0.07160703787735401,-1.0842021724855044E-19,0.008612886641848744
-0.007631838723180544,-0.07486708902491512,0,-0.0010042755540305443
0.0024512897994807626,-0.07500000000000001,-2.1684043449710089E-19,0.001645782839094584
0.0045345202262380485,-0.07261491823016536,0,8.258129921032605E-5
0.006475518522490235,-0.07499999999999998,0,0.0030385439904399847
-6.37479314297568E-5,-0.075,0,-0.0012572804348922446
-2.6034862707683803E-5,-0.07426303817918388,2.710505431213761E-20,-5.036716291566875E-5
0.00420953315871123,-0.07175472265443432,-5.421010862427522E-20,0.0017896232260849246
-3.470553921085519E-4,-0.07483021036683943,0,0.0025329325117701825
0.00514461853352482,-0.07248725874193024,-5.421010862427522E-20,0.004946634003687242
0.007255046363051612,-0.075,0,0.0016087736873920608
-0.075,0.0031343114326295336,0,-0.0014330508163963545
-0.07212576628302983,0.004355873320405442,0,0.003995337916927628
-0.07499999999999998,0.0069303838321595,0,-0.004817897853864571
-0.07499999999999998,5.918834629968788E-4,0,0.005666754436519604
